Text,brand_label,emotion_label
"opium founding father,",['reputation & heritage'],['horrible']
"yall trippin fit clean,",['product quality'],['love']
"might destroy lonely,",['reputation & heritage'],['horrible']
"alr show us women,",['reputation & heritage'],['neutral']
"bad think jeans ripped pull bad,",['product quality'],['bad']
"itssbo bro somehow made opium look normal except pants,",['product quality'],['neutral']
"bro think carti,",['reputation & heritage'],['hate']
"rick emotions,",['reputation & heritage'],['excited']
"wonder rick also endless cycle suffering,",['reputation & heritage'],['worse']
"life looks peaceful cool,",['reputation & heritage'],['love']
"rick inspirational,",['reputation & heritage'],['love']
"rick owend,",['reputation & heritage'],['love']
"bro look expensive,",['product quality'],['excited']
"knew along rick aphex twin,",['reputation & heritage'],['neutral']
"u actually think lonely better yb u actually need help,",['reputation & heritage'],['disappointed']
"lone better yb anyway,",['reputation & heritage'],['neutral']
"changed better,",['product quality'],['love']
"yb clears lone,",['reputation & heritage'],['love']
"reposting bc bro doesnt know like,",['reputation & heritage'],['disappointed']
"tim peak american lifestyle really right man,",['reputation & heritage'],['love']
"wow love beautiful life,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"bro connected earned,",['reputation & heritage'],['neutral']
"u make excited rest life,",['customer service'],['excited']
"like slight change video styles always seems started 4 start different parts end somewhere else,",['product quality'],['neutral']
"seem groundedpresent youre much every minute aspirational,",['reputation & heritage'],['love']
"love post always include form exercisewalking,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"love even flower fan guy matches aesthetic models,",['reputation & heritage'],['love']
"love reminds elephant butterfly catching game,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['love']
"definitely tell hes model face look everything beautiful,",['product quality'],['love']
"nobody get instant flashbacks elephant butterfly game,",['reputation & heritage'],['love']
"guy tried model spot got stuck flower boy,",['customer service'],['disappointed']
"im living comfy rick owens,",['product quality'],['love']
"lived id nightmares,",['customer service'],['horrible']
"everyday go sleep knowing house looks better rick owens,",['product quality'],['love']
"rich people art live unfinished home,",['reputation & heritage'],['hate']
"act different knowing house look better rick owens,",['reputation & heritage'],['love']
"rick owens abt looking poor homeless,","['product quality', 'reputation & heritage']",['disappointed']
"bro bought trap house renovate moved,","['product quality', 'customer service', 'reputation & heritage', 'social impact', 'ethical practices', 'sustainability']",['excited']
