Text,labels,Tokens_used
"maybe simpsons real cartoon,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",613
"think designers purpose,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"waiting model back flip like ones simpsons,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"collab balenciaga yall looks thing simpson put em theyre show,","Brand_labels: [""product quality""]
Emotion_labels: [""disappointed""]",561
"videos created,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",549
"actually plan create like plan us believe simpson story,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",557
"ill never understand fashion,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",551
"collab balenciaga simpsons theres whole vid youtube,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",555
"fashion show logic like stranger outfit better outfit,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"smither wearing,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"simpsons slayed,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"save sound take videos bouncycastle smelly party tomz,","Brand_labels: [""customer service""]
Emotion_labels: [""bad""]",556
"gon walkin hurricane next,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",550
"great grandfather army cool,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""great""]",550
"walking school bus morning,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",612
"walking school every morning knowing write 2 tests socialise people do3oulaa _panitsidou _christian_person,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",573
"oh yeah really digging end days chic look,","Brand_labels: [""product quality""]
Emotion_labels: [""excited""]",553
"trenches fr,","Brand_labels: [""product quality""]
Emotion_labels: []",546
"latest season american horror story looks good,","Brand_labels: [""product quality""]
Emotion_labels: [""good""]",551
"soon homeless people would dressed balenciaga,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"darling everyone sold balenciagas couple cents ruined way everyone could afford lose exclusivity,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",564
"rich people w balenciaga like,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"waiting see balenciaga tjmaxx next,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",553
"u took right back video fine,","Brand_labels: [""product quality""]
Emotion_labels: [""neutral""]",550
"bruh yall growing away balenciaga got cancelled doesnt mean u throw away like u could gave ppl,","Brand_labels: [""social impact""]
Emotion_labels: [""disappointed""]",566
"people need find balenciaga also owner gucci ysl alexander mcqueen bottega balenciaga,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",565
"gave homeless person people dont care name,","Brand_labels: [""social impact""]
Emotion_labels: [""disappointed""]",553
"silence ashley walked,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",613
