Text,brand_label,emotion_label
"maybe simpsons real cartoon,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"collab balenciaga yall looks thing simpson put em theyre show,",['product quality'],['disappointed']
"videos created,",['reputation & heritage'],['excited']
"actually plan create like plan us believe simpson story,",['reputation & heritage'],['disappointed']
"ill never understand fashion,",['reputation & heritage'],['disappointed']
"simpsons slayed,",['reputation & heritage'],['love']
"save sound take videos bouncycastle smelly party tomz,",['customer service'],['bad']
"gon walkin hurricane next,",['product quality'],['excited']
"great grandfather army cool,",['reputation & heritage'],['great']
"walking school bus morning,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"walking school every morning knowing write 2 tests socialise people do3oulaa _panitsidou _christian_person,",['reputation & heritage'],['excited']
"oh yeah really digging end days chic look,",['product quality'],['excited']
"latest season american horror story looks good,",['product quality'],['good']
"darling everyone sold balenciagas couple cents ruined way everyone could afford lose exclusivity,",['reputation & heritage'],['disappointed']
"rich people w balenciaga like,",['reputation & heritage'],['love']
"u took right back video fine,",['product quality'],['neutral']
"bruh yall growing away balenciaga got cancelled doesnt mean u throw away like u could gave ppl,",['social impact'],['disappointed']
"gave homeless person people dont care name,",['social impact'],['disappointed']
"silence ashley walked,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"someone literally said christine quinn came,",['reputation & heritage'],['excited']
"ugh want bag bad could scare people,",['product quality'],['bad']
"eating,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']","['love', 'great', 'amazing', 'impressed', 'thrilled', 'excited', 'horrible', 'bad', 'disappointed', 'terrible', 'worse', 'hate']"
"himnotric_,",['reputation & heritage'],['neutral']
"madisen elliepolk need use sound batman shiestys,","['product quality', 'reputation & heritage', 'customer service', 'social impact', 'ethical practices', 'sustainability']",['excited']
"anthormy yeomas legs small,",['product quality'],['disappointed']
"ava2k00l thats something,",['reputation & heritage'],['excited']
"bluetooth device ready pair,",['customer service'],['excited']
"buy buy buy years blow people start buying guarantee,",['customer service'],['excited']
"id embarrassed wear balenciaga anyway,",['reputation & heritage'],['embarrassed']
"balenciaga always looked cheap imo,",['product quality'],['bad']
"proves everything expensive looks expensivedesirable bc give power,",['product quality'],['love']
"consumers realized power hold,",['customer service'],['excited']
