Text,labels,Tokens_used
"opium founding father,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"yall trippin fit clean,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"might destroy lonely,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""horrible""]",550
"alr show us women,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""neutral""]",551
"bad think jeans ripped pull bad,","Brand_labels: [""product quality""]
Emotion_labels: [""bad""]",550
"itssbo bro somehow made opium look normal except pants,","Brand_labels: [""product quality""]
Emotion_labels: [""neutral""]",556
"bro think carti,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"rick emotions,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",549
"wonder rick also endless cycle suffering,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""worse""]",555
"life looks peaceful cool,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",550
"rick inspirational,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"rick owend,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"bro look expensive,","Brand_labels: [""product quality""]
Emotion_labels: []",545
"knew along rick aphex twin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"u actually think lonely better yb u actually need help,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",558
"lone better yb anyway,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"changed better,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",546
"yb clears lone,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"reposting bc bro doesnt know like,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",554
"tim peak american lifestyle really right man,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"wow love beautiful life,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",570
"bro connected earned,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",547
"u make excited rest life,","Brand_labels: [""customer service""]
Emotion_labels: [""excited""]",550
"like slight change video styles always seems started 4 start different parts end somewhere else,","Brand_labels: [""product quality""]
Emotion_labels: []",558
"seem groundedpresent youre much every minute aspirational,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",554
"love post always include form exercisewalking,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",575
"love even flower fan guy matches aesthetic models,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"love reminds elephant butterfly catching game,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",572
"definitely tell hes model face look everything beautiful,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",553
"nobody get instant flashbacks elephant butterfly game,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"guy tried model spot got stuck flower boy,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",554
"im living comfy rick owens,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",551
"lived id nightmares,","Brand_labels: [""customer service""]
Emotion_labels: [""horrible""]",549
"everyday go sleep knowing house looks better rick owens,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",556
"rich people art live unfinished home,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"act different knowing house look better rick owens,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",556
"rick owens abt looking poor homeless,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: [""disappointed""]",559
"bro bought trap house renovate moved,","Brand_labels: [""product quality"", ""customer service"", ""reputation & heritage"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""excited""]",574
"rick owens 100 demon,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",552
"rlly dancing two pvc pipes banging together,","Brand_labels: [""product quality""]
Emotion_labels: [""horrible""]",554
"around high would make spiral,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love"", ""great"", ""amazing"", ""impressed"", ""thrilled"", ""excited"", ""horrible"", ""bad"", ""disappointed"", ""terrible"", ""worse"", ""hate""]",613
"thinks hes rick owens,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",551
"everyones def somethin,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"hes enjoying life,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",549
"im focused evan petersjeff dahmer look alike wouldve tripped ngl,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""excited""]",565
"dancing considered mad man dont wan na know dance,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",557
"mad man happy composed ppl judge much,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"watch become boy chanel,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"longest time thought gabriette person,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",552
"thought kim k realized rinna,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",550
"wish enough money turn gabriette,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"really dont think gabriette look alike,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""disappointed""]",555
"idk really call nepo baby hate much bc lisa rena isnt really well liked person talented daughter,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""hate""]",568
"boy uee name,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",548
"cest chic,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",548
"love answer,","Brand_labels: [""product quality"", ""reputation & heritage"", ""customer service"", ""social impact"", ""ethical practices"", ""sustainability""]
Emotion_labels: [""love""]",568
"wise words young age love olson sisters,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",554
"honestly best advice,","Brand_labels: [""customer service""]
Emotion_labels: [""love""]",548
"thats great answershe chose nice instead putting one thing love always thought pretty,","Brand_labels: [""product quality""]
Emotion_labels: [""love"", ""great""]",562
"genuinely nice thing say especially since shes fashion icon,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",558
"thats beautiful advice,","Brand_labels: [""product quality""]
Emotion_labels: [""love""]",548
"olsen twins raised truly deserve everything good world,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",555
"shes sweetheart love olsen twins,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",553
"yall making fun walk bout shes walking versace sum yall cant afford,","Brand_labels: [""reputation & heritage""]
Emotion_labels: [""love""]",562
"ones talking walk cant even half period,","Brand_labels: [""customer service""]
Emotion_labels: [""disappointed""]",552
"bella high fashion gigi sports wear,","Brand_labels: [""product quality"", ""reputation & heritage""]
Emotion_labels: []",556
"yall know models walk,","Brand_labels: [""reputation & heritage""]
Emotion_labels: []",549
"hated hair black hair suits sooooo much better,","Brand_labels: [""product quality""]
Emotion_labels: [""hate""]",555
